house,seat_order,riding,peerage,rank,hex
Whitcombe,1,Parry Sound—Muskoka,Viscount Whitcombe of Muskoka,Viscount,#2E5E3A
Whitcombe,2,Nipissing—Timiskaming,Viscount Whitcombe of Muskoka,Viscount,#4A7A55
Whitcombe,3,Sudbury East—Manitoulin—Nickel Belt,Viscount Whitcombe of Muskoka,Viscount,#4A7A55
Whitcombe,4,Algonquin—Renfrew—Pembroke,Viscount Whitcombe of Muskoka,Viscount,#4A7A55
Whitcombe,5,Kapuskasing—Timmins—Mushkegowuk,Viscount Whitcombe of Muskoka,Viscount,#4A7A55
Whitcombe,6,Thunder Bay—Superior North,Viscount Whitcombe of Muskoka,Viscount,#4A7A55
Whitcombe,7,Sault Ste. Marie—Algoma,Viscount Whitcombe of Muskoka,Viscount,#4A7A55
Whitcombe,8,Abitibi—Baie-James—Nunavik—Eeyou,Viscount Whitcombe of Muskoka,Viscount,#4A7A55
Whitcombe,9,Thunder Bay—Rainy River,Viscount Whitcombe of Muskoka,Viscount,#4A7A55
Whitcombe,10,Sudbury,Viscount Whitcombe of Muskoka,Viscount,#4A7A55
Fitzroy-Crane,1,Saanich—Gulf Islands,Marchioness Fitzroy-Crane of Saanich,Marchioness,#8E4585
Fitzroy-Crane,2,Esquimalt—Saanich—Sooke,Marchioness Fitzroy-Crane of Saanich,Marchioness,#B57FB0
Fitzroy-Crane,3,Cowichan—Malahat—Langford,Marchioness Fitzroy-Crane of Saanich,Marchioness,#B57FB0
Fitzroy-Crane,4,Victoria,Marchioness Fitzroy-Crane of Saanich,Marchioness,#B57FB0
Fitzroy-Crane,5,Nanaimo—Ladysmith,Marchioness Fitzroy-Crane of Saanich,Marchioness,#B57FB0
Fitzroy-Crane,6,Courtenay—Alberni,Marchioness Fitzroy-Crane of Saanich,Marchioness,#B57FB0
Fitzroy-Crane,7,North Island—Powell River,Marchioness Fitzroy-Crane of Saanich,Marchioness,#B57FB0
Fitzroy-Crane,8,West Vancouver—Sunshine Coast—Sea to Sky Country,Marchioness Fitzroy-Crane of Saanich,Marchioness,#B57FB0
Fitzroy-Crane,9,North Vancouver—Capilano,Marchioness Fitzroy-Crane of Saanich,Marchioness,#B57FB0
Fitzroy-Crane,10,Vancouver Centre,Marchioness Fitzroy-Crane of Saanich,Marchioness,#B57FB0
Fitzroy-Crane,11,Burnaby North—Seymour,Marchioness Fitzroy-Crane of Saanich,Marchioness,#B57FB0
Fitzroy-Crane,12,Vancouver East,Marchioness Fitzroy-Crane of Saanich,Marchioness,#B57FB0
Fitzroy-Crane,13,Vancouver Kingsway,Marchioness Fitzroy-Crane of Saanich,Marchioness,#B57FB0
Fitzroy-Crane,14,Burnaby Central,Marchioness Fitzroy-Crane of Saanich,Marchioness,#B57FB0
Fitzroy-Crane,15,Vancouver Granville,Marchioness Fitzroy-Crane of Saanich,Marchioness,#B57FB0
Fitzroy-Crane,16,Richmond East—Steveston,Marchioness Fitzroy-Crane of Saanich,Marchioness,#B57FB0
Fitzroy-Crane,17,Vancouver Fraserview—South Burnaby,Marchioness Fitzroy-Crane of Saanich,Marchioness,#B57FB0
Fitzroy-Crane,18,New Westminster—Burnaby—Maillardville,Marchioness Fitzroy-Crane of Saanich,Marchioness,#B57FB0
Fitzroy-Crane,19,Vancouver Quadra,Marchioness Fitzroy-Crane of Saanich,Marchioness,#B57FB0
Fitzroy-Crane,20,Richmond Centre—Marpole,Marchioness Fitzroy-Crane of Saanich,Marchioness,#B57FB0
Fitzroy-Crane,21,Delta,Marchioness Fitzroy-Crane of Saanich,Marchioness,#B57FB0
Richard-Arseneau,1,Acadie—Bathurst,Marquis Richard-Arseneau de la Chaleur,Marquis,#2D6E6B
Richard-Arseneau,2,Gaspésie—Les Îles-de-la-Madeleine—Listuguj,Marquis Richard-Arseneau de la Chaleur,Marquis,#5E9490
Richard-Arseneau,3,Miramichi—Grand Lake,Marquis Richard-Arseneau de la Chaleur,Marquis,#5E9490
Richard-Arseneau,4,Madawaska—Restigouche,Marquis Richard-Arseneau de la Chaleur,Marquis,#5E9490
Richard-Arseneau,5,Rimouski—La Matapédia,Marquis Richard-Arseneau de la Chaleur,Marquis,#5E9490
Richard-Arseneau,6,Beauséjour,Marquis Richard-Arseneau de la Chaleur,Marquis,#5E9490
Richard-Arseneau,7,Moncton—Dieppe,Marquis Richard-Arseneau de la Chaleur,Marquis,#5E9490
Richard-Arseneau,8,Côte-du-Sud—Rivière-du-Loup—Kataskomiq—Témiscouata,Marquis Richard-Arseneau de la Chaleur,Marquis,#5E9490
Richard-Arseneau,9,Fredericton—Oromocto,Marquis Richard-Arseneau de la Chaleur,Marquis,#5E9490
Richard-Arseneau,10,Bellechasse—Les Etchemins—Lévis,Marquis Richard-Arseneau de la Chaleur,Marquis,#5E9490
Richard-Arseneau,11,Beauce,Marquis Richard-Arseneau de la Chaleur,Marquis,#5E9490
Richard-Arseneau,12,Québec Centre,Marquis Richard-Arseneau de la Chaleur,Marquis,#5E9490
Richard-Arseneau,13,Fundy Royal,Marquis Richard-Arseneau de la Chaleur,Marquis,#5E9490
Richard-Arseneau,14,Saint John—Kennebecasis,Marquis Richard-Arseneau de la Chaleur,Marquis,#5E9490
Richard-Arseneau,15,Louis-Hébert,Marquis Richard-Arseneau de la Chaleur,Marquis,#5E9490
