house,current_holder,generation,acceded,bio_age_at_accession,predecessor,heir_apparent,status,source,confidence,notes
Richard-Arseneau,Olivier Richard-Arseneau,G3,,,Alexandre Richard-Arseneau,,active,metrics 2026-04-27,medium,Octavien→Alexandre→Olivier; elevated to Marquis (L'Affaire de la Marquisate)
Fitzroy-Crane,Charlotte Fitzroy-Crane,G2,1918 (as recorded),,Eliza Fitzroy-Crane,,active,metrics 2026-04-27,medium,retroactive special remainder added 1898; Countess then Marchioness by 2026-05-04
Whitcombe,Edwin Whitcombe,G2,,,Cedric Whitcombe,,active,metrics 2026-04-27,low,CONFLICT: founding-era letter 2026-05-04 names founder as Edward Joshua with Edwin heir-apparent
MacNeil,Ruairidh MacNeil,G2,,,Hector MacNeil,,active,metrics 2026-04-27,medium,
Pereira,David Pereira,G2,,,Abraham Pereira,,active,handoff 2026-04-25,medium,"WWI cascade, clean"
Tessier,Paul-Léonard Tessier,G2,,,Hyacinthe-Olivier Tessier,,active,handoff 2026-04-25,medium,"WWI cascade, clean; authored-Resist signature"
Létourneau,Édouard-Hyacinthe Létourneau,G2,,,Jean-Baptiste Létourneau,,active,handoff 2026-04-25,medium,"WWI cascade, clean"
Wallace,Alexander James Wallace,G2,autumn Wallace personal 1909,~48,James Strachan Wallace,not formally named,active,cascade 2026-04-27,high,
Sinclair-McKay,Isabelle Ruth McKay,G2,spring SinM personal 1920,~72,Mary Isabelle Sinclair-McKay,not formally named,active,cascade 2026-04-27,high,female-line under founding-grant special remainder; Countess by 2026-05-04
Stanton-Greville,Edmund Stanton-Greville,G2,autumn SG personal 1910,~50,Col. Sir Randolph Horatio Stanton-Greville,not formally named,active,cascade 2026-04-27,high,Viscount by 2026-05-04
Galbraith,Hugh Galbraith,G2,spring Galbraith personal 1908,~60,Andrew MacIntyre Galbraith,not formally named,active,cascade 2026-04-27,high,
Garland,James Edward Garland,G2,autumn Garland personal 1909,~64,Sir Cornelius Whitbourne Garland (uncle),not formally named,active,cascade 2026-04-27,high,nephew succession; Viscount by 2026-05-04
MacDonald,Donald Angus MacDonald,G2,winter MacDonald personal 1901,~58,Ronald 'Raghnall' Angus MacDonald,not formally named,active,cascade 2026-04-27,high,Viscount by 2026-05-04
Blaikie,Robert Lauder Blaikie,G2,Blaikie personal 1916,~68,Sir Malcolm Lauder Blaikie,not formally named,active,cascade 2026-04-27,high,
Delany,Cornelius Delany,G2,summer Delany personal 1910,~65,Josiah Cornelius Delany,not formally named,active,cascade 2026-04-27,high,three-sibling portfolio division: Cornelius commercial / Mahala Ruth educational / Nathaniel legal
Letendre dit Batoche,Alexandre Letendre dit Batoche,G2,spring Letendre personal 1909,~58,Jean-Baptiste Letendre dit Batoche,not formally named,active,cascade 2026-04-27,high,
Hall,Edward Jacob Hall,G2,spring Hall personal 1920,~41,Sir William Hall VC,not formally named,active,cascade 2026-04-27,high,Earl
Wilmot-Hazen,Sir Edward John Wilmot-Hazen Jr.,G2,Wilmot-Hazen personal 1925,~68,Sir Edward John Wilmot-Hazen Sr.,not formally named,active,cascade 2026-04-27,high,
Ross,Alexander James Ross,G2,Ross personal 1922,~50,Sir Alexander Morrison Ross,not formally named,active,cascade 2026-04-27,high,
Lockhart,Sir Walter Lockhart,G1,founding,,,"operational heir, unnamed",active,handoff 2026-04-25,medium,
Polkinghorne,,G1,founding,,,,active,metrics 2026-04-27,low,holder name not yet recovered
Macleod,Sir Alexander Donald Macleod,G1,"founding (bio 67 at grant, b. 1862)",67,,"Donald Alexander Macleod (b. 1893), unconfirmed",active,founding block 2026-04-25,high,Baron at founding; Viscount by 2026-05-04 (elevation not yet recovered)
