fed_id_a,fed_id_b,adjacency_type
10001,10002,land
10001,10006,land
10001,10007,land
10002,10006,land
10003,10005,land
10003,10007,land
10004,10005,land
10004,24001,land
10004,24021,land
10004,62001,land
10005,24021,land
10006,10007,land
11001,11002,land
11001,11004,land
11001,12003,land
11002,11004,land
11003,11004,land
11004,12003,land
11004,12004,land
11004,13002,land
12001,12004,land
12001,12008,land
12001,12010,land
12002,12003,land
12002,12011,land
12003,12004,land
12003,12005,land
12003,12008,land
12003,12009,land
12004,12008,land
12004,13002,land
12004,13004,land
12005,12006,land
12005,12009,land
12006,12007,land
12006,12009,land
12007,12009,land
12007,12010,land
12008,12009,land
12008,12010,land
12009,12010,land
13001,13005,land
13001,13006,land
13001,24024,land
13002,13004,land
13002,13006,land
13002,13007,land
13003,13006,land
13003,13009,land
13003,13010,land
13004,13006,land
13004,13007,land
13004,13008,land
13004,13009,land
13005,13006,land
13005,13010,land
13005,24020,land
13005,24024,land
13005,24062,land
13006,13009,land
13006,13010,land
13008,13009,land
13009,13010,land
24001,24002,land
24001,24021,land
24001,24030,land
24001,24033,land
24001,24057,land
24001,24070,land
24001,35044,land
24001,62001,land
24002,24057,land
24002,35002,land
24002,35044,land
24002,35073,land
24003,24004,land
24003,24013,land
24003,24038,land
24003,24054,land
24003,24056,land
24003,24068,land
24003,24069,land
24003,24078,land
24004,24013,land
24004,24027,land
24004,24045,land
24004,24073,land
24004,24074,land
24004,24078,land
24005,24025,land
24005,24036,land
24005,24039,land
24005,24047,land
24005,24057,land
24005,24076,land
24005,35077,land
24005,35088,land
24006,24010,land
24006,24040,land
24006,24046,land
24007,24017,land
24007,24076,land
24007,35088,land
24007,35102,land
24008,24010,land
24008,24016,land
24008,24051,land
24008,24059,land
24009,24012,land
24009,24023,land
24009,24046,land
24009,24055,land
24009,24058,land
24009,24061,land
24009,24066,land
24009,24070,land
24009,24075,land
24010,24020,land
24010,24040,land
24010,24043,land
24010,24051,land
24010,24059,land
24011,24049,land
24011,24055,land
24011,24066,land
24011,24067,land
24011,24071,land
24012,24029,land
24012,24055,land
24012,24060,land
24012,24070,land
24012,24075,land
24013,24027,land
24013,24069,land
24014,24019,land
24014,24061,land
24014,24067,land
24014,24071,land
24015,24032,land
24015,24037,land
24015,24041,land
24015,24049,land
24015,24077,land
24016,24044,land
24016,24051,land
24016,24058,land
24016,24059,land
24017,24022,land
24017,24032,land
24017,24034,land
24017,24067,land
24017,24076,land
24018,24021,land
24018,24030,land
24018,24051,land
24019,24046,land
24019,24061,land
24019,24072,land
24020,24021,land
24020,24051,land
24020,24062,land
24021,24024,land
24021,24030,land
24021,24051,land
24021,24062,land
24022,24032,land
24022,24034,land
24022,24035,land
24022,24048,land
24022,24052,land
24022,24056,land
24022,24068,land
24023,24061,land
24023,24066,land
24023,24071,land
24024,24062,land
24025,24028,land
24025,24057,land
24025,35077,land
24025,35081,land
24026,24027,land
24026,24031,land
24026,24037,land
24026,24041,land
24026,24042,land
24026,24054,land
24026,24065,land
24026,24069,land
24027,24031,land
24027,24069,land
24027,24073,land
24028,24057,land
24028,35043,land
24028,35079,land
24028,35081,land
24028,35082,land
24029,24036,land
24029,24039,land
24029,24050,land
24029,24060,land
24029,24070,land
24030,24033,land
24030,24051,land
24031,24042,land
24031,24055,land
24031,24060,land
24031,24073,land
24032,24035,land
24032,24067,land
24033,24051,land
24033,24070,land
24034,24047,land
24034,24056,land
24034,24076,land
24035,24052,land
24035,24077,land
24036,24039,land
24036,24057,land
24036,24070,land
24037,24041,land
24037,24053,land
24037,24065,land
24037,24077,land
24038,24045,land
24038,24056,land
24038,24063,land
24038,24078,land
24039,24047,land
24039,24050,land
24039,24064,land
24040,24043,land
24040,24046,land
24040,24058,land
24041,24042,land
24041,24049,land
24042,24049,land
24042,24055,land
24043,24044,land
24043,24058,land
24043,24059,land
24044,24058,land
24044,24059,land
24045,24063,land
24045,24074,land
24045,24078,land
24046,24058,land
24046,24061,land
24047,24056,land
24047,24063,land
24047,24064,land
24047,24074,land
24047,24076,land
24048,24052,land
24048,24053,land
24048,24054,land
24048,24068,land
24049,24055,land
24049,24067,land
24050,24060,land
24050,24064,land
24050,24073,land
24051,24058,land
24051,24070,land
24052,24053,land
24052,24077,land
24053,24054,land
24053,24065,land
24053,24077,land
24054,24065,land
24054,24068,land
24054,24069,land
24055,24060,land
24055,24066,land
24056,24063,land
24056,24068,land
24057,24070,land
24057,35002,land
24057,35020,land
24057,35043,land
24058,24070,land
24060,24073,land
24061,24071,land
24063,24074,land
24064,24073,land
24064,24074,land
24066,24071,land
24067,24071,land
24070,24075,land
24073,24074,land
24076,35088,land
35001,35087,land
35001,35116,land
35002,35020,land
35002,35035,land
35002,35040,land
35002,35051,land
35002,35073,land
35003,35047,land
35003,35058,land
35003,35068,land
35003,35089,land
35003,35121,land
35004,35005,land
35004,35069,land
35004,35098,land
35004,35121,land
35005,35098,land
35005,35099,land
35005,35121,land
35006,35040,land
35006,35046,land
35006,35074,land
35007,35024,land
35007,35093,land
35007,35096,land
35007,35110,land
35008,35035,land
35008,35074,land
35008,35078,land
35008,35087,land
35008,35116,land
35008,35121,land
35009,35010,land
35009,35012,land
35009,35013,land
35009,35014,land
35010,35011,land
35010,35012,land
35010,35013,land
35010,35065,land
35011,35012,land
35011,35025,land
35011,35031,land
35011,35047,land
35011,35065,land
35011,35113,land
35012,35014,land
35012,35025,land
35012,35060,land
35012,35115,land
35013,35014,land
35013,35060,land
35013,35065,land
35013,35066,land
35014,35060,land
35015,35032,land
35015,35034,land
35015,35083,land
35016,35025,land
35016,35042,land
35016,35084,land
35016,35085,land
35016,35098,land
35016,35104,land
35017,35018,land
35017,35032,land
35017,35036,land
35017,35037,land
35017,35076,land
35018,35032,land
35018,35060,land
35018,35076,land
35018,35115,land
35019,35032,land
35019,35049,land
35019,35050,land
35019,35083,land
35019,35115,land
35020,35043,land
35020,35051,land
35020,35052,land
35020,35067,land
35020,35080,land
35020,35088,land
35020,35102,land
35021,35027,land
35021,35028,land
35021,35059,land
35021,35090,land
35022,35026,land
35022,35100,land
35022,35105,land
35022,35111,land
35022,35112,land
35022,35122,land
35023,35024,land
35023,35026,land
35023,35057,land
35023,35092,land
35023,35093,land
35023,35117,land
35024,35026,land
35024,35093,land
35024,35110,land
35024,35111,land
35024,35112,land
35025,35047,land
35025,35069,land
35025,35085,land
35025,35098,land
35025,35115,land
35026,35111,land
35026,35117,land
35026,35120,land
35026,35122,land
35027,35034,land
35027,35054,land
35027,35055,land
35027,35059,land
35027,35083,land
35028,35090,land
35028,35118,land
35028,35119,land
35029,35030,land
35029,35031,land
35029,35062,land
35029,35065,land
35029,35105,land
35029,35122,land
35030,35062,land
35030,35064,land
35030,35105,land
35031,35041,land
35031,35065,land
35031,35113,land
35031,35122,land
35032,35034,land
35032,35036,land
35032,35037,land
35032,35038,land
35032,35039,land
35032,35072,land
35032,35083,land
35032,35115,land
35033,35115,land
35034,35072,land
35034,35083,land
35035,35040,land
35035,35073,land
35035,35074,land
35035,35084,land
35035,35086,land
35035,35099,land
35035,35121,land
35036,35037,land
35036,35038,land
35036,35039,land
35037,35038,land
35037,35072,land
35038,35039,land
35040,35046,land
35040,35051,land
35040,35074,land
35040,35086,land
35041,35106,land
35041,35113,land
35041,35120,land
35041,35122,land
35042,35059,land
35042,35085,land
35042,35090,land
35043,35067,land
35043,35082,land
35044,35045,land
35044,35073,land
35044,35091,land
35044,35104,land
35044,35108,land
35044,62001,land
35045,35107,land
35045,35108,land
35045,46002,land
35045,46006,land
35045,62001,land
35046,35051,land
35046,35052,land
35047,35068,land
35047,35069,land
35047,35089,land
35047,35106,land
35047,35113,land
35048,35049,land
35048,35050,land
35048,35114,land
35049,35050,land
35049,35083,land
35049,35085,land
35049,35114,land
35049,35115,land
35050,35115,land
35051,35052,land
35052,35102,land
35053,35054,land
35053,35055,land
35053,35059,land
35054,35055,land
35054,35059,land
35055,35059,land
35056,35057,land
35056,35058,land
35056,35087,land
35056,35121,land
35057,35058,land
35057,35087,land
35057,35089,land
35057,35092,land
35057,35094,land
35057,35095,land
35057,35106,land
