house,personal_year,basis
Benjamin,1883,"synced at season 40, event 289"
Bouchard,1895,"synced at season 40, event 290"
Cameron,1867,founded season 41
Cornwall,1867,"reset at accession, season 41"
Elliott,1900,"synced at season 20, event 100"
Forbes,1891,"synced at season 41, event 304"
Hays,1871,"reset at disorderly accession, season 37"
Hoover,1878,"reset at accession, season 30"
Langelier,1891,"synced at season 41, event 304"
McLellan,1895,"synced at season 40, event 290"
Meagher,1872,"reset at accession, season 36"
Mercier,1883,"synced at season 40, event 289"
Patterson,1868,founded season 40
Rochon,1872,founded season 36
Stefaniuk,1879,"reset at accession, season 29"
Wallace,1904,"synced at season 11, event 30"
