event_id,house,role,personal_year
1,Elliott,participant,
2,Elliott,participant,
3,Elliott,participant,
4,Wallace,participant,
5,Elliott,participant,
6,Stefaniuk,participant,
7,Elliott,participant,
8,Wallace,participant,
9,Wallace,participant,
10,Stefaniuk,participant,
11,Elliott,participant,
12,Wallace,participant,
13,Stefaniuk,participant,
13,Wallace,participant,
14,Stefaniuk,participant,
15,Elliott,participant,
16,Wallace,participant,
17,Wallace,participant,
18,Stefaniuk,participant,
19,Benjamin,participant,
20,Stefaniuk,participant,
21,Stefaniuk,participant,
22,Mercier,participant,
23,Elliott,participant,
24,Wallace,participant,
25,Stefaniuk,participant,
25,Wallace,participant,
26,Benjamin,participant,
27,Bouchard,participant,
28,Wallace,participant,
29,Stefaniuk,participant,
30,Stefaniuk,participant,1874
30,Wallace,participant,1874
31,Benjamin,participant,
32,Mercier,participant,
33,Mercier,participant,
34,Hays,participant,
35,Elliott,participant,
36,Elliott,participant,
37,Stefaniuk,participant,
37,Wallace,participant,
38,Benjamin,participant,
39,Mercier,participant,
40,Bouchard,participant,
41,Wallace,participant,
42,Wallace,participant,
43,Stefaniuk,participant,
44,Mercier,participant,
45,Mercier,participant,
46,Bouchard,participant,
47,Hays,participant,
48,McLellan,participant,
49,Elliott,participant,
50,Benjamin,participant,
51,Benjamin,participant,
51,Elliott,participant,
52,Bouchard,participant,
53,Hays,participant,
54,Hays,participant,
55,Cornwall,participant,
56,Elliott,participant,
57,Wallace,participant,
58,Stefaniuk,participant,
59,Benjamin,participant,
60,Benjamin,participant,
61,Mercier,participant,
62,Hays,participant,
63,McLellan,participant,
64,Bouchard,participant,
64,McLellan,participant,
65,Benjamin,participant,
66,Mercier,participant,
67,Bouchard,participant,
68,Bouchard,participant,
69,McLellan,participant,
70,McLellan,participant,
71,Cornwall,participant,
72,Elliott,participant,
73,Wallace,participant,
74,Benjamin,participant,
75,Bouchard,participant,
76,Bouchard,participant,
77,Hays,participant,
78,Hays,participant,
78,Mercier,participant,
79,McLellan,participant,
80,Cornwall,participant,
81,Langelier,participant,
82,Wallace,participant,
83,Stefaniuk,participant,
84,Benjamin,participant,
84,Elliott,participant,
85,Mercier,participant,
86,Mercier,participant,
87,Hays,participant,
88,Hays,participant,
89,Cornwall,participant,
90,Langelier,participant,
91,Meagher,participant,
92,Elliott,participant,
92,Hays,participant,
93,Stefaniuk,participant,
94,Benjamin,participant,
95,Bouchard,participant,
96,McLellan,participant,
97,Langelier,participant,
98,Langelier,participant,
98,Mercier,participant,
99,Meagher,participant,
100,Benjamin,participant,1879
100,Elliott,participant,1879
101,Wallace,participant,
102,Wallace,participant,
103,Stefaniuk,participant,
104,Mercier,participant,
105,Hays,participant,
106,McLellan,participant,
107,Cornwall,participant,
108,Cornwall,participant,
109,Langelier,participant,
110,Meagher,participant,
111,Hoover,participant,
112,Elliott,participant,
112,Hays,participant,
113,Wallace,participant,
114,Bouchard,participant,
115,Bouchard,participant,
116,Bouchard,participant,
116,McLellan,participant,
117,Cornwall,participant,
118,Langelier,participant,
119,Langelier,participant,
119,Mercier,participant,
120,Meagher,participant,
121,Elliott,participant,
122,Wallace,participant,
123,Stefaniuk,participant,
124,Benjamin,participant,
125,Hays,participant,
126,McLellan,participant,
127,McLellan,participant,
127,Mercier,participant,
128,Meagher,participant,
129,Hoover,participant,
130,Wallace,participant,
131,Mercier,participant,
132,McLellan,participant,
132,Mercier,participant,
133,Cornwall,participant,
134,Langelier,participant,
135,Hoover,participant,
136,Elliott,participant,
137,Benjamin,participant,
138,Benjamin,participant,
139,McLellan,participant,
140,McLellan,participant,
140,Mercier,participant,
141,Langelier,participant,
142,Meagher,participant,
143,Hoover,participant,
144,Hoover,participant,
145,Wallace,participant,
146,Stefaniuk,participant,
147,Mercier,participant,
148,Mercier,participant,
149,Bouchard,participant,
150,Hays,participant,
151,Benjamin,participant,
151,McLellan,participant,
152,Cornwall,participant,
153,Meagher,participant,
154,Langelier,participant,
154,Meagher,participant,
155,Elliott,participant,
156,Benjamin,participant,
156,Wallace,participant,
157,Stefaniuk,participant,
158,Benjamin,participant,
159,Mercier,participant,
160,Hays,participant,
161,Langelier,participant,
162,Hoover,participant,
163,Wallace,participant,
164,Stefaniuk,participant,
165,Hays,participant,
165,Mercier,participant,
166,Hays,participant,
167,McLellan,participant,
168,Langelier,participant,
169,Meagher,participant,
170,Hoover,participant,
171,Hoover,participant,
172,Wallace,participant,
173,Stefaniuk,participant,
174,Benjamin,participant,
174,Wallace,participant,
175,Hays,participant,
175,Meagher,participant,
176,Cornwall,participant,
177,Langelier,participant,
178,Elliott,participant,
179,Stefaniuk,participant,
180,Hoover,participant,
180,Stefaniuk,participant,
181,Benjamin,participant,
182,Bouchard,participant,
182,Wallace,participant,
183,Hays,participant,
184,McLellan,participant,
185,McLellan,participant,
186,Cornwall,participant,
187,Meagher,participant,
188,Hays,participant,
188,Meagher,participant,
189,Hoover,participant,
190,Benjamin,participant,
190,McLellan,participant,
191,Mercier,participant,
192,Bouchard,participant,
192,Wallace,participant,
193,Elliott,participant,
193,Hays,participant,
194,Cornwall,participant,
195,Cornwall,participant,
196,Hoover,participant,
197,Elliott,participant,
198,Elliott,participant,
198,Hays,participant,
199,Hoover,participant,
199,Stefaniuk,participant,
200,Benjamin,participant,
201,McLellan,participant,
202,McLellan,participant,
203,Cornwall,participant,
204,Langelier,participant,
205,Hays,participant,
205,Hoover,participant,
206,Elliott,participant,
207,Elliott,participant,
207,Stefaniuk,participant,
208,Benjamin,participant,
209,Bouchard,participant,
210,Hays,participant,
211,Hays,participant,
211,Hoover,participant,
212,Cornwall,participant,
213,Langelier,participant,
214,Meagher,participant,
215,Wallace,participant,
216,Stefaniuk,participant,
217,Benjamin,participant,
217,McLellan,participant,
218,McLellan,participant,
218,Mercier,participant,
219,Bouchard,participant,
219,McLellan,participant,
220,Elliott,participant,
220,Hays,participant,
221,Langelier,participant,
222,Hays,participant,
222,Meagher,participant,
223,Wallace,participant,
224,Bouchard,participant,
224,Wallace,participant,
225,Benjamin,participant,
226,Hays,participant,
227,McLellan,participant,
228,Hays,participant,
228,McLellan,participant,
229,Cornwall,participant,
230,Meagher,participant,
231,Langelier,participant,
231,Meagher,participant,
232,Hoover,participant,
232,Langelier,participant,
233,Forbes,participant,
234,Elliott,participant,
234,Wallace,participant,
235,Benjamin,participant,
236,Benjamin,participant,
237,McLellan,participant,
237,Mercier,participant,
238,Bouchard,participant,
239,Hays,participant,
240,Hays,participant,
240,McLellan,participant,
241,Cornwall,participant,
242,Langelier,participant,
243,Forbes,participant,
243,Langelier,participant,
244,Elliott,participant,
245,Wallace,participant,
246,Stefaniuk,participant,
247,Mercier,participant,
248,Bouchard,participant,
249,Hays,participant,
250,McLellan,participant,
251,Meagher,participant,
252,Meagher,participant,
253,Forbes,participant,
254,Forbes,participant,
254,Langelier,participant,
255,Rochon,participant,
256,Elliott,participant,
257,Elliott,participant,
257,Stefaniuk,participant,
258,Bouchard,participant,
259,Hays,participant,
260,McLellan,participant,
261,McLellan,participant,
262,Cornwall,participant,
263,Hays,participant,
263,Meagher,participant,
264,Forbes,participant,
265,Forbes,participant,
265,Langelier,participant,
266,Rochon,participant,
267,Elliott,participant,
268,Elliott,participant,
268,Wallace,participant,
269,Wallace,participant,
270,Benjamin,participant,
270,McLellan,participant,
271,Elliott,participant,
271,Mercier,participant,
272,Bouchard,participant,
272,Hays,participant,
273,Cornwall,participant,
274,Cornwall,participant,
275,Langelier,participant,
276,Forbes,participant,
277,Rochon,participant,
278,Rochon,participant,
279,Benjamin,participant,
279,Mercier,participant,
280,Stefaniuk,participant,
