id,house,fed_id,seat_order,hex,acquired_event_id,released_event_id
1,Elliott,35046,1,#673232,1,
2,Wallace,35072,1,#2f7f7f,4,
3,Stefaniuk,46006,1,#4f742a,6,
4,Wallace,35034,2,#54c0c0,9,
5,Benjamin,24036,1,#4c2475,19,
6,Stefaniuk,46009,2,#82bd47,21,
7,Mercier,24029,1,#5a4d2b,22,
8,Bouchard,24044,1,#2c6339,27,
9,Mercier,24060,2,#9e884c,33,
10,Hays,24052,1,#2f4175,34,
11,Wallace,35101,3,#54c0c0,42,
12,McLellan,11003,1,#852e71,48,
13,Elliott,35051,2,#ac5353,49,
14,Cornwall,59042,1,#6e7533,55,
15,Elliott,35020,3,#ac5353,56,
16,Bouchard,24043,2,#4ca962,68,
17,Wallace,35037,4,#54c0c0,73,
18,Langelier,24033,1,#326a29,81,
19,Mercier,24055,3,#9e884c,86,
20,Hays,24053,2,#506cb9,88,
21,Meagher,35044,1,#225d46,91,
22,Stefaniuk,46007,3,#82bd47,93,
23,Hoover,35080,1,#2c5268,111,
24,Wallace,35070,5,#54c0c0,113,882
25,Wallace,35032,5,#54c0c0,130,
26,Benjamin,24070,2,#803cc3,138,
27,Bouchard,24059,3,#4ca962,149,
28,Stefaniuk,47014,4,#82bd47,157,
29,Mercier,24050,4,#9e884c,159,
30,Hays,24037,3,#506cb9,160,
31,McLellan,11004,2,#c454aa,185,
32,Cornwall,59012,2,#adb658,186,
33,Mercier,24042,5,#9e884c,191,288
34,Cornwall,59029,3,#adb658,195,
35,McLellan,12003,3,#c454aa,202,
36,Cornwall,59043,4,#adb658,203,
37,Bouchard,24008,4,#4ca962,209,706
38,Langelier,24030,2,#55b446,213,
39,Benjamin,24051,3,#803cc3,225,
40,Forbes,12001,1,#413592,233,
41,Benjamin,24009,4,#803cc3,236,
42,Elliott,35043,4,#ac5353,244,
43,Rochon,35024,1,#73257e,255,
44,McLellan,12002,4,#c454aa,261,
45,Wallace,35083,6,#54c0c0,269,
46,Cornwall,59015,5,#adb658,274,
47,Rochon,35007,2,#b641c8,278,
48,Stefaniuk,47012,5,#82bd47,280,
49,Wallace,35085,8,#54c0c0,287,882
50,Benjamin,24042,5,#803cc3,288,
51,McLellan,12004,5,#c454aa,292,
52,Patterson,13001,1,#5a2b3e,298,
53,Cameron,35089,1,#764528,306,
54,Langelier,24021,3,#55b446,311,
55,Patterson,24024,2,#9e4c6d,315,
56,Stefaniuk,47004,6,#82bd47,316,
57,Cornwall,59022,6,#adb658,322,
58,Bouchard,24058,5,#4ca962,337,
59,Bird,46010,1,#556827,346,
60,Bouchard,24016,6,#4ca962,349,
61,Benjamin,24020,6,#803cc3,358,
62,Forbes,12008,2,#7265c8,364,
63,Cardinal,46012,1,#9a2d43,367,
64,Hoover,35081,2,#4b8aaf,373,
65,Cameron,35058,2,#bf7245,379,389
66,Rouleau,24022,1,#746c25,381,
67,Hays,24026,4,#506cb9,385,493
68,Wallace,35036,9,#54c0c0,395,882
69,Bouchard,24040,7,#4ca962,398,
70,Bird,46014,2,#91b342,405,
71,Cardinal,46013,2,#d05d74,407,
72,Hendrie,35009,1,#338054,409,
73,Rouleau,24032,2,#c2b53d,424,
74,Mercier,24064,5,#9e884c,432,
75,Forbes,12010,3,#7265c8,436,
76,Patterson,13005,3,#9e4c6d,438,
77,Cameron,35047,2,#bf7245,440,
78,Bird,46003,3,#91b342,441,
79,Bhullar,59019,1,#337a6c,444,
80,McLellan,11002,6,#c454aa,448,
81,Forbes,12009,4,#7265c8,453,
82,Rouleau,24017,3,#c2b53d,456,
83,Cousineau,35016,1,#2d5c9a,458,572
84,Rochon,35110,3,#b641c8,466,
85,Cousineau,35084,2,#5d8fd0,475,572
86,Pegahmagabow,35091,1,#24296a,476,
87,Rouleau,24067,4,#c2b53d,485,
88,Meagher,35073,2,#3ea87d,495,
89,Hoover,35067,3,#4b8aaf,496,
90,Bird,46011,4,#91b342,497,
91,Hendrie,35013,2,#5bbe86,501,
