id,season_no,house,action,success,detail
1,2,Elliott,Consolidate (rest),1,
2,3,Elliott,Cultivate influence,1,
3,4,Elliott,Expand,0,
4,5,Elliott,Expand,0,
5,5,Wallace,Expand,0,
6,6,Elliott,Name heir,1,
7,6,Wallace,Expand,1,Haldimand—Norfolk
8,6,Stefaniuk,Name heir,1,
9,7,Elliott,Expand,0,
10,7,Wallace,Correspond,1,Stefaniuk
11,7,Stefaniuk,Consolidate (rest),1,
12,8,Elliott,Expand,0,
13,8,Wallace,Name heir,1,
14,8,Stefaniuk,Expand,0,
15,9,Elliott,Consolidate (rest),1,
16,9,Wallace,Invest,1,
17,9,Stefaniuk,Expand,1,Selkirk—Interlake—Eastman
18,9,Benjamin,Invest,1,
19,10,Elliott,Cultivate influence,0,
20,10,Wallace,Invest,1,
21,10,Stefaniuk,Correspond,1,Wallace
22,10,Benjamin,Invest,1,
23,10,Mercier,Invest,1,
24,11,Elliott,Invest,1,
25,11,Wallace,Invest,1,
26,11,Stefaniuk,Marriage alliance,1,Wallace
27,11,Benjamin,Cultivate influence,1,
28,11,Mercier,Expand,1,Repentigny
29,11,Bouchard,Invest,1,
30,12,Elliott,Invest,1,
31,12,Wallace,Correspond,1,Stefaniuk
32,12,Stefaniuk,Correspond,0,
33,12,Benjamin,Consolidate (rest),1,
34,12,Mercier,Invest,1,
35,12,Bouchard,Cultivate influence,1,
36,12,Hays,Expand,0,
37,13,Elliott,Correspond,0,
38,13,Wallace,Expand,1,St. Catharines
39,13,Stefaniuk,Cultivate influence,1,
40,13,Benjamin,Invest,1,
41,13,Mercier,Name heir,1,
42,13,Bouchard,Invest,1,
43,13,Hays,Cultivate influence,1,
44,14,Elliott,Expand,1,Lanark—Frontenac
45,14,Wallace,Cultivate influence,1,
46,14,Stefaniuk,Invest,1,
47,14,Benjamin,Correspond,1,Elliott
48,14,Mercier,Consolidate (rest),1,
49,14,Bouchard,Expand,0,
50,14,Hays,Name heir,1,
51,14,McLellan,Cultivate influence,1,
52,15,Elliott,Expand,1,Carleton
53,15,Wallace,Expand,0,
54,15,Stefaniuk,Invest,1,
55,15,Benjamin,Endow,1,
56,15,Mercier,Expand,0,
57,15,Bouchard,Invest,1,
58,15,Hays,Expand,0,
59,15,McLellan,Correspond,1,Bouchard
60,15,Cornwall,Cultivate influence,1,
61,16,Elliott,Invest,1,
