house,peerage,rank,status,primary_hex,secondary_hex,notes
Akatsiak,Viscount Akatsiak of Mittimatalik,Viscount,active,#4FA8C8,#7CC8DC,
Anand,Baron Anand of Don Valley,Baron,active,#C8501F,#E8703F,
Ashworth,Baron Ashworth of Winnipeg,Baron,active,#A68554,#C9AC81,
Blaikie,Baron Blaikie of Westmount,Baron,active,#2C3A4A,,secondary exists per director but never mapped
Boyer-Lavallée,Baron Boyer-Lavallée of Carlton Trail,Baron,active,#A04A2D,,secondary exists per director but never mapped
Calabrese,Baron Calabrese of Saint-Léonard,Baron,active,#2D7A4F,,secondary exists per director but never mapped
Cardinal,Viscount Cardinal of Norway House,Viscount,active,#2D5F5F,#5C8585,
Delany,Viscount Delany of Chatham,Viscount,active,#6B3416,#C6A664,
FitzWilliam-Macklem,Baron FitzWilliam-Macklem of Lincoln,Baron,active,#5D2A1F,,secondary exists per director but never mapped
Fitzroy-Crane,Marchioness Fitzroy-Crane of Saanich,Marchioness,active,#8E4585,#B57FB0,
Galbraith,Baron Galbraith of Oxford,Baron,active,#7A8C3D,,secondary exists per director but never mapped
Garland,Viscount Garland of Avalon,Viscount,active,#4A6B5E,#6B8C7A,
Hall,Earl Hall of Preston,Earl,active,#5C2E3D,#7A4D5A,
Hryhoryshyn,Viscount Hryhoryshyn of Star,Viscount,active,#C8B600,#E8D620,
Kilmartin,Baron Kilmartin of Sudbury,Baron,removed,#5A4B3F,,retired; Sudbury now held by Whitcombe of Muskoka
Klassen-Reimer,Baron Klassen-Reimer of Winkler,Baron,active,#4A6B47,#6A8B67,
Letendre dit Batoche,Baron Letendre dit Batoche de la Rivière-Rouge,Baron,active,#7A5A1C,,secondary exists per director but never mapped
Lockhart,Baron Lockhart of Waterton,Baron,active,#7A6144,#9C8766,
Létourneau,Baron Létourneau de Gatineau,Baron,active,#4A6B3E,,secondary exists per director but never mapped
MacDonald,Viscount MacDonald of the Prince's Island,Viscount,active,#3F5A6B,#5F7A8B,
MacNeil,Viscount MacNeil of Boisdale,Viscount,active,#6B2E2E,#9C6B6B,
Macleod,Viscount Macleod of Bow Valley,Viscount,active,#5C4B2E,#A89169,
Pereira,Viscount Pereira of Mount Royal,Viscount,active,#283969,#5566A0,
Polkinghorne,Baron Polkinghorne of Kootenay,Baron,active,#2A4F5F,#5A7F8F,
Richard-Arseneau,Marquis Richard-Arseneau de la Chaleur,Marquis,active,#2D6E6B,#5E9490,
Ross,Baron Ross of Assiniboia,Baron,active,#5B7F8A,#7A9DAB,
Sinclair-McKay,Countess Sinclair-McKay of Kinookimaw,Countess,active,#3A6B8F,#6693B8,
Stanton-Greville,Viscount Stanton-Greville of Adolphustown,Viscount,active,#8B1A1A,#B65757,
Tessier,Baron Tessier de Saint-Jérôme,Baron,active,#4B3A6B,#5D4270,
Trondek,Baron Trondek of Dawson,Baron,active,#7A6332,,secondary exists per director but never mapped
Tupper-Blair,,,removed,,,ridings transferred to Hall of Preston; navy palette retired with the house
Wallace,Viscount Wallace of Rosedale,Viscount,active,#A44A1F,#C27550,
Whitcombe,Viscount Whitcombe of Muskoka,Viscount,active,#2E5E3A,#4A7A55,
Wilmot-Hazen,Baron Wilmot-Hazen of Saint John,Baron,active,#4A3828,#A88860,
Wilson,Baroness Wilson of Rockcliffe,Baroness,active,#7B3F7B,#B07AB0,secondary from old Section 4 registry; not yet on map
