fed_id,name_en,name_fr,province,name_key
10001,Avalon,Avalon,NL,avalon
10002,Cape Spear,Cape Spear,NL,cape spear
10003,Central Newfoundland,Central Newfoundland,NL,central newfoundland
10004,Labrador,Labrador,NL,labrador
10005,Long Range Mountains,Long Range Mountains,NL,long range mountains
10006,St. John's East,St. John’s-Est,NL,st. john's east
10007,Terra Nova—The Peninsulas,Terra Nova—Les Péninsules,NL,terra nova-the peninsulas
11001,Cardigan,Cardigan,PE,cardigan
11002,Charlottetown,Charlottetown,PE,charlottetown
11003,Egmont,Egmont,PE,egmont
11004,Malpeque,Malpeque,PE,malpeque
12001,Acadie—Annapolis,Acadie—Annapolis,NS,acadie-annapolis
12002,Cape Breton—Canso—Antigonish,Cape Breton—Canso—Antigonish,NS,cape breton-canso-antigonish
12003,Central Nova,Nova-Centre,NS,central nova
12004,Cumberland—Colchester,Cumberland—Colchester,NS,cumberland-colchester
12005,Dartmouth—Cole Harbour,Dartmouth—Cole Harbour,NS,dartmouth-cole harbour
12006,Halifax,Halifax,NS,halifax
12007,Halifax West,Halifax-Ouest,NS,halifax west
12008,Kings—Hants,Kings—Hants,NS,kings-hants
12009,Sackville—Bedford—Preston,Sackville—Bedford—Preston,NS,sackville-bedford-preston
12010,South Shore—St. Margarets,South Shore—St. Margarets,NS,south shore-st. margarets
12011,Sydney—Glace Bay,Sydney—Glace Bay,NS,sydney-glace bay
13001,Acadie—Bathurst,Acadie—Bathurst,NB,acadie-bathurst
13002,Beauséjour,Beauséjour,NB,beauséjour
13003,Fredericton—Oromocto,Fredericton—Oromocto,NB,fredericton-oromocto
13004,Fundy Royal,Fundy Royal,NB,fundy royal
13005,Madawaska—Restigouche,Madawaska—Restigouche,NB,madawaska-restigouche
13006,Miramichi—Grand Lake,Miramichi—Grand Lake,NB,miramichi-grand lake
13007,Moncton—Dieppe,Moncton—Dieppe,NB,moncton-dieppe
13008,Saint John—Kennebecasis,Saint John—Kennebecasis,NB,saint john-kennebecasis
13009,Saint John—St. Croix,Saint John—St. Croix,NB,saint john-st. croix
13010,Tobique—Mactaquac,Tobique—Mactaquac,NB,tobique-mactaquac
24001,Abitibi—Baie-James—Nunavik—Eeyou,Abitibi—Baie-James—Nunavik—Eeyou,QC,abitibi-baie-james-nunavik-eeyou
24002,Abitibi—Témiscamingue,Abitibi—Témiscamingue,QC,abitibi-témiscamingue
24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville,QC,ahuntsic-cartierville
24004,Alfred-Pellan,Alfred-Pellan,QC,alfred-pellan
24005,Argenteuil—La Petite-Nation,Argenteuil—La Petite-Nation,QC,argenteuil-la petite-nation
24006,Beauce,Beauce,QC,beauce
24007,Beauharnois—Salaberry—Soulanges—Huntingdon,Beauharnois—Salaberry—Soulanges—Huntingdon,QC,beauharnois-salaberry-soulanges-huntingdon
24008,Beauport—Limoilou,Beauport—Limoilou,QC,beauport-limoilou
