season_no,seed,json_path,houses_after,ridings_after,rules_version,created_at
1,1867,scenarios/new/seasons/0001.json,1,1,0.7,2026-09-08T13:29:24+00:00
2,1867,scenarios/new/seasons/0002.json,1,1,0.7,2026-09-08T13:29:24+00:00
3,1867,scenarios/new/seasons/0003.json,1,1,0.7,2026-09-08T13:29:24+00:00
4,1867,scenarios/new/seasons/0004.json,2,2,0.7,2026-09-08T13:29:24+00:00
5,1867,scenarios/new/seasons/0005.json,3,3,0.7,2026-09-08T13:29:24+00:00
6,1867,scenarios/new/seasons/0006.json,3,4,0.7,2026-09-08T13:29:24+00:00
7,1867,scenarios/new/seasons/0007.json,3,4,0.7,2026-09-08T13:29:24+00:00
8,1867,scenarios/new/seasons/0008.json,4,5,0.7,2026-09-08T13:29:24+00:00
9,1867,scenarios/new/seasons/0009.json,5,7,0.7,2026-09-08T13:29:24+00:00
10,1867,scenarios/new/seasons/0010.json,6,8,0.7,2026-09-08T13:29:24+00:00
11,1867,scenarios/new/seasons/0011.json,7,10,0.7,2026-09-08T13:29:24+00:00
12,1867,scenarios/new/seasons/0012.json,7,10,0.7,2026-09-08T13:29:24+00:00
13,1867,scenarios/new/seasons/0013.json,8,12,0.7,2026-09-08T13:29:24+00:00
14,1867,scenarios/new/seasons/0014.json,9,14,0.7,2026-09-08T13:29:24+00:00
15,1867,scenarios/new/seasons/0015.json,9,15,0.7,2026-09-08T13:29:24+00:00
16,1867,scenarios/new/seasons/0016.json,9,16,0.7,2026-09-08T13:29:24+00:00
17,1867,scenarios/new/seasons/0017.json,10,18,0.7,2026-09-08T13:29:24+00:00
18,1867,scenarios/new/seasons/0018.json,11,21,0.7,2026-09-08T13:29:24+00:00
19,1867,scenarios/new/seasons/0019.json,11,22,0.7,2026-09-08T13:29:24+00:00
20,1867,scenarios/new/seasons/0020.json,12,23,0.7,2026-09-08T13:29:24+00:00
21,1867,scenarios/new/seasons/0021.json,12,24,0.7,2026-09-08T13:29:24+00:00
22,1867,scenarios/new/seasons/0022.json,12,24,0.7,2026-09-08T13:29:24+00:00
23,1867,scenarios/new/seasons/0023.json,12,25,0.7,2026-09-08T13:29:24+00:00
24,1867,scenarios/new/seasons/0024.json,12,26,0.7,2026-09-08T13:29:24+00:00
25,1867,scenarios/new/seasons/0025.json,12,27,0.7,2026-09-08T13:29:24+00:00
26,1867,scenarios/new/seasons/0026.json,12,30,0.7,2026-09-08T13:29:24+00:00
27,1867,scenarios/new/seasons/0027.json,12,30,0.7,2026-09-08T13:29:24+00:00
28,1867,scenarios/new/seasons/0028.json,12,30,0.7,2026-09-08T13:29:24+00:00
