season_no,house,capital,influence,cohesion,ambition,holdings
1,Elliott,40,35,76,1,1
5,Elliott,45,31,89,1,1
5,Stefaniuk,48,29,62,8,1
5,Wallace,50,27,65,4,1
10,Benjamin,64,36,73,4,1
10,Bouchard,38,30,79,10,1
10,Elliott,40,21,100,1,1
10,Mercier,45,33,73,8,1
10,Stefaniuk,28,34,70,8,2
10,Wallace,61,22,80,4,2
15,Benjamin,52,37,96,4,1
15,Bouchard,52,41,89,10,1
15,Cornwall,33,32,75,1,1
15,Elliott,26,21,95,1,3
15,Hays,49,29,89,2,1
15,McLellan,29,27,66,10,1
15,Mercier,63,18,86,8,2
15,Stefaniuk,44,35,85,8,2
15,Wallace,64,13,85,4,3
20,Benjamin,47,47,100,4,1
20,Bouchard,48,36,99,10,2
20,Cornwall,46,32,75,1,1
20,Elliott,29,27,100,1,3
20,Hays,34,25,89,2,2
20,Hoover,48,37,68,1,1
20,Langelier,48,19,73,2,1
20,McLellan,17,39,84,10,1
20,Meagher,36,51,75,6,1
20,Mercier,54,19,86,8,3
20,Stefaniuk,37,41,98,8,3
20,Wallace,47,13,98,4,4
25,Benjamin,40,42,100,4,2
25,Bouchard,36,36,94,10,3
25,Cornwall,50,54,80,1,1
25,Elliott,24,43,100,1,3
25,Hays,42,37,97,2,2
25,Hoover,44,53,78,1,1
25,Langelier,69,9,73,2,1
25,McLellan,25,39,94,10,1
25,Meagher,16,67,88,6,1
25,Mercier,54,21,81,8,3
25,Stefaniuk,45,42,100,8,3
25,Wallace,38,8,98,4,6
30,Benjamin,30,59,100,4,2
30,Bouchard,39,36,100,10,3
30,Cornwall,51,44,80,1,3
30,Elliott,30,49,100,1,3
30,Hays,22,47,97,2,3
30,Hoover,34,54,99,1,1
30,Langelier,65,14,91,2,1
30,McLellan,39,34,99,10,2
30,Meagher,27,73,98,6,1
30,Mercier,27,21,81,8,5
30,Stefaniuk,38,47,100,8,4
30,Wallace,23,20,100,4,6
35,Benjamin,26,59,95,4,4
35,Bouchard,37,37,100,10,4
35,Cornwall,45,49,85,1,4
35,Elliott,41,60,100,1,3
35,Forbes,50,47,61,5,1
35,Hays,42,42,100,2,3
35,Hoover,24,60,100,1,1
35,Langelier,43,31,96,2,2
35,McLellan,37,35,100,10,3
35,Meagher,17,84,100,6,1
35,Mercier,30,27,94,8,5
35,Stefaniuk,41,47,100,8,4
35,Wallace,36,21,100,4,6
40,Benjamin,29,60,100,4,5
40,Bouchard,50,32,100,10,4
40,Cornwall,49,54,90,1,5
40,Elliott,26,55,100,1,4
40,Forbes,65,37,79,5,1
40,Hays,30,42,70,2,3
40,Hoover,27,60,100,1,1
40,Langelier,46,31,100,2,2
40,McLellan,28,35,100,10,5
40,Meagher,20,84,95,6,1
40,Mercier,33,33,94,8,4
40,Patterson,46,24,64,4,1
40,Rochon,23,50,63,8,2
40,Stefaniuk,32,52,100,8,5
40,Wallace,27,22,100,4,8
