fed_id,token,token_order
10001,Avalon,0
10002,Cape Spear,0
10003,Newfoundland,0
10004,Labrador,0
10005,Long Range Mountains,0
10006,St. John's,0
10007,Terra Nova,0
10007,The Peninsulas,1
11001,Cardigan,0
11002,Charlottetown,0
11003,Egmont,0
11004,Malpeque,0
12001,Acadie,0
12001,Annapolis,1
12002,Cape Breton,0
12002,Canso,1
12002,Antigonish,2
12003,Nova,0
12004,Cumberland,0
12004,Colchester,1
12005,Dartmouth,0
12005,Cole Harbour,1
12006,Halifax,0
12007,Halifax,0
12008,Kings,0
12008,Hants,1
12009,Sackville,0
12009,Bedford,1
12009,Preston,2
12010,Shore,0
12010,St. Margarets,1
12011,Sydney,0
12011,Glace Bay,1
13001,Acadie,0
13001,Bathurst,1
13002,Beauséjour,0
13003,Fredericton,0
13003,Oromocto,1
13004,Fundy Royal,0
13005,Madawaska,0
13005,Restigouche,1
13006,Miramichi,0
13006,Grand Lake,1
13007,Moncton,0
13007,Dieppe,1
13008,Saint John,0
13008,Kennebecasis,1
13009,Saint John,0
13009,St. Croix,1
13010,Tobique,0
13010,Mactaquac,1
24001,Abitibi,0
24001,Baie-James,1
24001,Nunavik,2
24001,Eeyou,3
24002,Abitibi,0
24002,Témiscamingue,1
24003,Ahuntsic-Cartierville,0
24004,Alfred-Pellan,0
24005,Argenteuil,0
24005,La Petite-Nation,1
24006,Beauce,0
24007,Beauharnois,0
24007,Salaberry,1
24007,Soulanges,2
24007,Huntingdon,3
24008,Beauport,0
24008,Limoilou,1
24009,Bécancour,0
24009,Nicolet,1
24009,Saurel,2
24009,Alnôbak,3
24010,Bellechasse,0
24010,Les Etchemins,1
24010,Lévis,2
24011,Beloeil,0
24011,Chambly,1
24012,Berthier,0
24012,Maskinongé,1
24013,Bourassa,0
24014,Brome,0
24014,Missisquoi,1
24015,Brossard,0
24015,Saint-Lambert,1
24016,Charlesbourg,0
24016,Haute-Saint-Charles,1
24017,Châteauguay,0
24017,Les Jardins-de-Napierville,1
24018,Chicoutimi,0
24018,Le Fjord,1
24019,Compton,0
24019,Stanstead,1
24020,Côte-du-Sud,0
24020,Rivière-du-Loup,1
24020,Kataskomiq,2
24020,Témiscouata,3
24021,Côte-Nord,0
24021,Kawawachikamach,1
24021,Nitassinan,2
24022,Dorval,0
24022,Lachine,1
24022,LaSalle,2
24023,Drummond,0
24024,Gaspésie,0
24024,Les Îles-de-la-Madeleine,1
24024,Listuguj,2
24025,Gatineau,0
24026,Hochelaga,0
24026,Rosemont-Est,1
24027,Honoré-Mercier,0
24028,Hull,0
24028,Aylmer,1
24029,Joliette,0
24029,Manawan,1
24030,Jonquière,0
24031,La Pointe-de-l'Île,0
24032,La Prairie,0
24032,Atateken,1
24033,Lac-Saint-Jean,0
24034,Lac-Saint-Louis,0
24035,LaSalle,0
24035,Émard,1
24035,Verdun,2
24036,Laurentides,0
24036,Labelle,1
24037,Laurier,0
24037,Sainte-Marie,1
24038,Laval,0
24038,Les Îles,1
24039,Les Pays-d'en-Haut,0
24040,Lévis,0
24040,Lotbinière,1
24041,Longueuil,0
24041,Charles-LeMoyne,1
24042,Longueuil,0
24042,Saint-Hubert,1
24043,Louis-Hébert,0
24044,Louis-Saint-Laurent,0
24044,Akiawenhrahk,1
24045,Marc-Aurèle-Fortin,0
24046,Mégantic,0
24046,L’Érable,1
24046,Lotbinière,2
24047,Mirabel,0
24048,Mount Royal,0
24049,Mont-Saint-Bruno,0
24049,L’Acadie,1
24050,Montcalm,0
24051,Montmorency,0
24051,Charlevoix,1
24052,Notre-Dame-de-Grâce,0
24052,Westmount,1
24053,Outremont,0
24054,Papineau,0
24055,Pierre-Boucher,0
24055,Les Patriotes,1
24055,Verchères,2
24056,Pierrefonds,0
24056,Dollard,1
24057,Pontiac,0
24057,Kitigan Zibi,1
24058,Portneuf,0
24058,Jacques-Cartier,1
24059,Québec,0
24060,Repentigny,0
24061,Richmond,0
24061,Arthabaska,1
24062,Rimouski,0
24062,La Matapédia,1
