tradition,gender,name
english,m,William
english,m,John
english,m,James
english,m,Edward
english,m,George
english,m,Charles
english,m,Henry
english,m,Thomas
english,m,Frederick
english,m,Arthur
english,m,Alfred
english,m,Robert
english,m,Richard
english,m,Samuel
english,m,Walter
english,m,Herbert
english,m,Francis
english,m,Albert
english,m,Edwin
english,m,Reginald
english,f,Mary
english,f,Elizabeth
english,f,Margaret
english,f,Sarah
english,f,Anne
english,f,Charlotte
english,f,Emily
english,f,Eleanor
english,f,Harriet
english,f,Louisa
english,f,Catherine
english,f,Jane
english,f,Alice
english,f,Frances
english,f,Caroline
english,f,Agnes
english,f,Edith
english,f,Florence
english,f,Isabella
english,f,Ellen
scots,m,Alexander
scots,m,Angus
scots,m,Donald
scots,m,Duncan
scots,m,Hugh
scots,m,Kenneth
scots,m,Malcolm
scots,m,Murdoch
scots,m,Neil
scots,m,Roderick
scots,m,Archibald
scots,m,Colin
scots,m,Ewen
scots,m,Farquhar
scots,m,Hector
scots,m,Lachlan
scots,m,Norman
scots,m,Ronald
scots,m,Alasdair
scots,m,Iain
scots,f,Flora
scots,f,Isabella
scots,f,Catriona
scots,f,Margaret
scots,f,Jean
scots,f,Janet
scots,f,Christina
scots,f,Mary
scots,f,Ann
scots,f,Elspeth
scots,f,Marion
scots,f,Euphemia
scots,f,Grace
scots,f,Agnes
scots,f,Jessie
scots,f,Marjory
scots,f,Morag
scots,f,Rachel
scots,f,Sarah
scots,f,Helen
scots_gaelic,m,Ruairidh
scots_gaelic,m,Dòmhnall
scots_gaelic,m,Aonghas
scots_gaelic,m,Eòghann
scots_gaelic,m,Calum
scots_gaelic,m,Iain
scots_gaelic,m,Tormod
scots_gaelic,m,Alasdair
scots_gaelic,m,Raghnall
scots_gaelic,m,Lachlann
scots_gaelic,m,Seumas
scots_gaelic,m,Uilleam
scots_gaelic,m,Eachann
scots_gaelic,m,Gilleasbuig
scots_gaelic,m,Coinneach
scots_gaelic,m,Murchadh
scots_gaelic,m,Niall
scots_gaelic,m,Pàdraig
scots_gaelic,m,Tearlach
scots_gaelic,m,Fionnlagh
scots_gaelic,f,Màiri
scots_gaelic,f,Catrìona
scots_gaelic,f,Seònaid
scots_gaelic,f,Mòrag
scots_gaelic,f,Sìne
scots_gaelic,f,Anna
scots_gaelic,f,Ealasaid
scots_gaelic,f,Peigi
scots_gaelic,f,Raonaid
scots_gaelic,f,Flòraidh
scots_gaelic,f,Iseabail
scots_gaelic,f,Marsaili
scots_gaelic,f,Oighrig
scots_gaelic,f,Ceit
scots_gaelic,f,Barabal
scots_gaelic,f,Una
scots_gaelic,f,Mairead
scots_gaelic,f,Giorsal
scots_gaelic,f,Beathag
scots_gaelic,f,Dolina
french,m,Jean-Baptiste
french,m,Joseph
french,m,Louis
french,m,Pierre
french,m,François
french,m,Hyacinthe
french,m,Olivier
french,m,Édouard
french,m,Alexandre
french,m,Octavien
french,m,Honoré
french,m,Ludger
french,m,Napoléon
french,m,Télesphore
french,m,Wilfrid
french,m,Adélard
french,m,Rodolphe
french,m,Lomer
french,m,Cyrille
french,m,Ovide
french,f,Marie
french,f,Marguerite
french,f,Joséphine
french,f,Angélique
french,f,Célina
french,f,Rosalie
french,f,Adèle
french,f,Émilie
french,f,Hermine
french,f,Delphine
french,f,Clémence
french,f,Léocadie
french,f,Zoé
french,f,Philomène
french,f,Eugénie
french,f,Alphonsine
french,f,Blanche
french,f,Corinne
french,f,Anastasie
french,f,Geneviève
irish,m,Patrick
irish,m,Michael
irish,m,Thomas
irish,m,Timothy
irish,m,Daniel
irish,m,Cornelius
irish,m,Dennis
irish,m,Bernard
irish,m,Owen
irish,m,Hugh
irish,m,Lawrence
irish,m,Edmund
irish,m,Terence
irish,m,Malachy
irish,m,Peter
irish,m,Francis
irish,m,Brendan
irish,m,Eugene
irish,m,Martin
irish,m,Kieran
irish,f,Bridget
irish,f,Mary
irish,f,Catherine
irish,f,Margaret
irish,f,Ellen
irish,f,Honora
irish,f,Johanna
irish,f,Julia
irish,f,Winifred
irish,f,Norah
irish,f,Kathleen
irish,f,Maureen
irish,f,Rose
irish,f,Teresa
irish,f,Agnes
irish,f,Brigid
