province,place
NS,Preston
NS,Boisdale
NS,Pictou
NS,Antigonish
NS,Annapolis
NS,Lunenburg
NS,Windsor
NS,Truro
NS,Shubenacadie
NS,Bras d'Or
NS,Margaree
NS,Chester
NS,Cumberland
NS,Mabou
NS,Bedford
NB,Saint John
NB,Chaleur
NB,Tobique
NB,Kennebecasis
NB,Miramichi
NB,Madawaska
NB,Shediac
NB,Woodstock
NB,Sackville
NB,Fundy
NB,Restigouche
NB,Oromocto
NB,Petitcodiac
NB,Grand Falls
NB,Sussex
PE,the Prince's Island
PE,Malpeque
PE,Cardigan
PE,Souris
PE,Summerside
PE,Rustico
PE,Bedeque
PE,Belfast
PE,Tignish
PE,Murray Harbour
NL,Avalon
NL,Placentia
NL,Bonavista
NL,Trinity
NL,Ferryland
NL,Conception Bay
NL,Corner Brook
NL,Harbour Grace
NL,Fogo
NL,Labrador
QC,Mount Royal
QC,Westmount
QC,Saint-Jérôme
QC,Beloeil
QC,Gatineau
QC,Kamouraska
QC,Charlevoix
QC,Beauharnois
QC,Terrebonne
QC,Rimouski
QC,Saguenay
QC,Lotbinière
QC,Montmorency
QC,Portneuf
QC,Nicolet
QC,Yamaska
QC,Témiscouata
QC,Bellechasse
QC,Verchères
QC,Sorel
ON,Rosedale
ON,Adolphustown
ON,Muskoka
ON,Chatham
ON,Oxford
ON,Glengarry
ON,Lincoln
ON,Sudbury
ON,Don Valley
ON,Rockcliffe
ON,Cobourg
ON,Perth
ON,Kingston
ON,Simcoe
ON,Grey
ON,Bruce
ON,Dundas
ON,Cornwall
ON,Nipigon
ON,Temagami
MB,Assiniboia
MB,the Red River
MB,Winkler
MB,Kildonan
MB,Selkirk
MB,Gimli
MB,Norway House
MB,Brandon
MB,Dauphin
MB,Portage
MB,Souris
MB,Pembina
MB,Emerson
MB,Riding Mountain
MB,Carman
SK,Kinookimaw
SK,Carlton Trail
SK,Qu'Appelle
SK,Batoche
SK,Cypress Hills
SK,Swift Current
SK,Yorkton
SK,Prince Albert
SK,Moose Mountain
SK,Touchwood
SK,Duck Lake
SK,Fort Pelly
SK,Lac La Ronge
SK,Wood Mountain
AB,Bow Valley
AB,Waterton
AB,Star
AB,Medicine Hat
AB,Peace River
AB,Red Deer
AB,Fort Macleod
AB,Athabasca
AB,Cardston
AB,Jasper
AB,Vegreville
AB,Crowsnest
AB,Lac Ste. Anne
AB,Pincher Creek
AB,Strathcona
BC,Saanich
BC,Kootenay
BC,Cariboo
BC,Quadra
BC,Nanaimo
BC,Skeena
BC,Okanagan
BC,Cowichan
BC,Comox
BC,Steveston
BC,Barkerville
BC,Yale
BC,Lillooet
BC,Alberni
BC,Bella Coola
YT,Dawson
YT,Moosehide
YT,Whitehorse
YT,Klondike
YT,Forty Mile
YT,Mayo
YT,Teslin
YT,Carcross
NT,Fort Providence
NT,Yellowknife
NT,Fort Smith
NT,Great Slave
NT,Mackenzie
NT,Hay River
NT,Aklavik
NT,Fort Simpson
NU,Mittimatalik
NU,Iqaluit
NU,Kinngait
NU,Igloolik
NU,Rankin Inlet
NU,Arviat
NU,Pangnirtung
NU,Cambridge Bay
