community,surname
Scottish Highland Catholic,MacNeil
Scottish Highland Catholic,MacDonald
Scottish Highland Catholic,MacEachern
Scottish Highland Catholic,MacIsaac
Scottish Highland Catholic,MacKinnon
Scottish Highland Catholic,Gillis
Scottish Highland Catholic,MacLellan
Scottish Highland Catholic,Chisholm
Scottish Highland Catholic,MacGillivray
Scottish Highland Catholic,Beaton
Scottish Highland Catholic,MacIntyre
Scottish Highland Catholic,MacPhee
Scottish Highland Catholic,Rankin
Scottish Highland Catholic,MacFarlane
Scottish Highland Catholic,MacAdam
Scottish Highland Catholic,MacKenzie
Scottish Highland Catholic,Cameron
Scottish Highland Catholic,MacLeod
Scottish Highland Catholic,MacInnis
Scottish Highland Catholic,Fraser
Scottish Presbyterian,McCulloch
Scottish Presbyterian,Fraser
Scottish Presbyterian,Ross
Scottish Presbyterian,Munro
Scottish Presbyterian,Sutherland
Scottish Presbyterian,Grant
Scottish Presbyterian,Matheson
Scottish Presbyterian,Murray
Scottish Presbyterian,Gordon
Scottish Presbyterian,Campbell
Scottish Presbyterian,MacKay
Scottish Presbyterian,Patterson
Scottish Presbyterian,Archibald
Scottish Presbyterian,Dickson
Scottish Presbyterian,McLellan
Scottish Presbyterian,Douglas
Scottish Presbyterian,Logan
Scottish Presbyterian,Stewart
Scottish Presbyterian,Forbes
Scottish Presbyterian,MacGregor
Acadian,Arseneau
Acadian,Richard
Acadian,LeBlanc
Acadian,Comeau
Acadian,Thibodeau
Acadian,Doucet
Acadian,Landry
Acadian,Cormier
Acadian,Gallant
Acadian,Bourque
Acadian,Melanson
Acadian,Belliveau
Acadian,Robichaud
Acadian,Boudreau
Acadian,Poirier
Acadian,Gaudet
Acadian,Saulnier
Acadian,Thériault
Acadian,Léger
Acadian,Chiasson
Loyalist Anglican,Wilmot
Loyalist Anglican,Hazen
Loyalist Anglican,Chipman
Loyalist Anglican,Botsford
Loyalist Anglican,Odell
Loyalist Anglican,Uniacke
Loyalist Anglican,Almon
Loyalist Anglican,Ritchie
Loyalist Anglican,Stairs
Loyalist Anglican,Robie
Loyalist Anglican,Cogswell
Loyalist Anglican,Halliburton
Loyalist Anglican,Wentworth
Loyalist Anglican,Bliss
Loyalist Anglican,Jarvis
Loyalist Anglican,Robinson
Loyalist Anglican,Boulton
Loyalist Anglican,Stanton
Irish Catholic,Doyle
Irish Catholic,Walsh
Irish Catholic,Murphy
Irish Catholic,Kavanagh
Irish Catholic,Flanagan
Irish Catholic,Duggan
Irish Catholic,Ryan
Irish Catholic,Sullivan
Irish Catholic,Costigan
Irish Catholic,Anglin
Irish Catholic,Dwyer
