full_name,note
Louis Riel,Métis leader of the Red River and North-West resistances
Gabriel Dumont,Métis military leader at Batoche
Cuthbert Grant,Métis leader at Seven Oaks
Poundmaker,Pîhtokahanapiwiyin; Plains Cree chief
Joseph Brant,Thayendanegea; Mohawk military and political leader
Molly Brant,Koñwatsiãtsiaiéñni; Mohawk leader and diplomat
Frederick Loft,Onondeyoh; Mohawk veteran who founded the League of Indians of Canada
Francis Pegahmagabow,Anishinaabe soldier and Wasauksing chief
Mary Two-Axe Earley,Kanien'kehá:ka activist for the status rights of Indigenous women
Peter Jones,Kahkewaquonaby; Mississauga Methodist minister and translator
Tom Longboat,Onondaga distance runner
Andrew Paull,Squamish organiser and co-founder of the North American Indian Brotherhood
Peter Kelly,Haida minister and leader of the Native Brotherhood of British Columbia
George Manuel,Secwépemc leader and president of the National Indian Brotherhood
Mary Ann Shadd,Publisher of the Provincial Freeman and first Black woman newspaper editor in North America
William Hall,Nova Scotian sailor; first Black recipient of the Victoria Cross
Rose Fortune,Annapolis Royal entrepreneur and Canada's first known policewoman
Josiah Henson,Formerly enslaved minister who founded the Dawn Settlement
Richard Preston,Baptist minister who founded the African Baptist Association of Nova Scotia
George Dixon,Nova Scotian boxer; first Black world champion in any sport
Portia White,Nova Scotian contralto
Viola Desmond,Nova Scotian businesswoman whose 1946 conviction was overturned posthumously
Simon Fraser,Explorer of the Fraser River
Alexander Mackenzie,Explorer of the Mackenzie River; and the second prime minister of the same name
George Brown,Father of Confederation and founder of the Globe
Alexander Galt,Father of Confederation and first finance minister
John Abbott,Third prime minister
Edward Blake,Premier of Ontario and Liberal leader
James Whitney,Premier of Ontario
James Douglas,Governor of the colonies of Vancouver Island and British Columbia
Tommy Douglas,Premier of Saskatchewan and first federal CCF/NDP leader
Norman Bethune,Surgeon; medical service in China and Spain
Alexander Graham Bell,Inventor; Baddeck and Brantford
Edward Beatty,President of the Canadian Pacific Railway
Timothy Eaton,Founder of the Eaton's department store chain
Emily Murphy,Magistrate and one of the Famous Five of the Persons Case
Cairine Wilson,First woman appointed to the Senate of Canada
Martha Black,Yukon MP and Klondike chronicler
Joseph Boyle,Klondike Joe Boyle; miner and wartime adventurer
Honoré Mercier,Premier of Québec
Louis-Alexandre Taschereau,Premier of Québec
Félix-Gabriel Marchand,Premier of Québec
Thérèse Casgrain,Suffragist and senator
Marie Lacoste Gérin-Lajoie,Feminist and co-founder of the Fédération nationale Saint-Jean-Baptiste
Lionel Groulx,Historian and nationalist writer
Antoine Labelle,Curé of Saint-Jérôme; colonisation of the Laurentians
Calixa Lavallée,Composer of O Canada
Wasyl Eleniak,One of the first two Ukrainian settlers in Canada
Ivan Pylypiw,One of the first two Ukrainian settlers in Canada
Vilhjalmur Stefansson,Arctic explorer from the New Iceland settlement
Salome Halldorson,Icelandic-Canadian member of the Manitoba legislature
Won Alexander Cumyow,First person of Chinese descent born in what is now Canada
Tomekichi Homma,Japanese-Canadian who challenged the BC franchise laws
Muriel Kitagawa,Writer and chronicler of the wartime dispossession of Japanese Canadians
David Suzuki,Geneticist and broadcaster
